Date,Recipient Characteristic,Type,Subtype,Observation
Mar-19,New Zealand Superannuation,Gender,Male,359397
Jun-19,New Zealand Superannuation,Gender,Male,362742
Sep-19,New Zealand Superannuation,Gender,Male,365721
Dec-19,New Zealand Superannuation,Gender,Male,369090
Mar-20,New Zealand Superannuation,Gender,Male,372351
Jun-20,New Zealand Superannuation,Gender,Male,375732
Sep-20,New Zealand Superannuation,Gender,Male,380196
Dec-20,New Zealand Superannuation,Gender,Male,383547
Mar-21,New Zealand Superannuation,Gender,Male,386955
Jun-21,New Zealand Superannuation,Gender,Male,389820
Sep-21,New Zealand Superannuation,Gender,Male,393276
Dec-21,New Zealand Superannuation,Gender,Male,395154
Mar-22,New Zealand Superannuation,Gender,Male,398148
Jun-22,New Zealand Superannuation,Gender,Male,400524
Sep-22,New Zealand Superannuation,Gender,Male,404220
Dec-22,New Zealand Superannuation,Gender,Male,405894
Mar-23,New Zealand Superannuation,Gender,Male,409410
Jun-23,New Zealand Superannuation,Gender,Male,413013
Sep-23,New Zealand Superannuation,Gender,Male,417021
Dec-23,New Zealand Superannuation,Gender,Male,420324
Mar-24,New Zealand Superannuation,Gender,Male,424470
Mar-19,New Zealand Superannuation,Gender,Female,415254
Jun-19,New Zealand Superannuation,Gender,Female,418695
Sep-19,New Zealand Superannuation,Gender,Female,421914
Dec-19,New Zealand Superannuation,Gender,Female,425739
Mar-20,New Zealand Superannuation,Gender,Female,429162
Jun-20,New Zealand Superannuation,Gender,Female,433266
Sep-20,New Zealand Superannuation,Gender,Female,438561
Dec-20,New Zealand Superannuation,Gender,Female,442038
Mar-21,New Zealand Superannuation,Gender,Female,444987
Jun-21,New Zealand Superannuation,Gender,Female,447717
Sep-21,New Zealand Superannuation,Gender,Female,450732
Dec-21,New Zealand Superannuation,Gender,Female,452622
Mar-22,New Zealand Superannuation,Gender,Female,455553
Jun-22,New Zealand Superannuation,Gender,Female,457839
Sep-22,New Zealand Superannuation,Gender,Female,461328
Dec-22,New Zealand Superannuation,Gender,Female,463242
Mar-23,New Zealand Superannuation,Gender,Female,466725
Jun-23,New Zealand Superannuation,Gender,Female,470184
Sep-23,New Zealand Superannuation,Gender,Female,474354
Dec-23,New Zealand Superannuation,Gender,Female,477930
Mar-24,New Zealand Superannuation,Gender,Female,482328
Mar-19,New Zealand Superannuation,Gender,Gender Diverse,0
Jun-19,New Zealand Superannuation,Gender,Gender Diverse,0
Sep-19,New Zealand Superannuation,Gender,Gender Diverse,0
Dec-19,New Zealand Superannuation,Gender,Gender Diverse,3
Mar-20,New Zealand Superannuation,Gender,Gender Diverse,3
Jun-20,New Zealand Superannuation,Gender,Gender Diverse,3
Sep-20,New Zealand Superannuation,Gender,Gender Diverse,6
Dec-20,New Zealand Superannuation,Gender,Gender Diverse,9
Mar-21,New Zealand Superannuation,Gender,Gender Diverse,9
Jun-21,New Zealand Superannuation,Gender,Gender Diverse,12
Sep-21,New Zealand Superannuation,Gender,Gender Diverse,15
Dec-21,New Zealand Superannuation,Gender,Gender Diverse,15
Mar-22,New Zealand Superannuation,Gender,Gender Diverse,24
Jun-22,New Zealand Superannuation,Gender,Gender Diverse,27
Sep-22,New Zealand Superannuation,Gender,Gender Diverse,33
Dec-22,New Zealand Superannuation,Gender,Gender Diverse,33
Mar-23,New Zealand Superannuation,Gender,Gender Diverse,39
Jun-23,New Zealand Superannuation,Gender,Gender Diverse,42
Sep-23,New Zealand Superannuation,Gender,Gender Diverse,48
Dec-23,New Zealand Superannuation,Gender,Gender Diverse,51
Mar-24,New Zealand Superannuation,Gender,Gender Diverse,51
Mar-19,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,41631
Jun-19,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,42123
Sep-19,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,42699
Dec-19,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,43479
Mar-20,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,44025
Jun-20,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,44757
Sep-20,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,45753
Dec-20,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,46458
Mar-21,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,47148
Jun-21,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,46740
Sep-21,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,47376
Dec-21,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,47535
Mar-22,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,47685
Jun-22,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,46998
Sep-22,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,47313
Dec-22,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,47223
Mar-23,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,47985
Jun-23,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,46881
Sep-23,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,47382
Dec-23,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,47823
Mar-24,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,48570
Mar-19,New Zealand Superannuation,Receipt of additional support,Disability Allowance,127746
Jun-19,New Zealand Superannuation,Receipt of additional support,Disability Allowance,127638
Sep-19,New Zealand Superannuation,Receipt of additional support,Disability Allowance,127383
Dec-19,New Zealand Superannuation,Receipt of additional support,Disability Allowance,128046
Mar-20,New Zealand Superannuation,Receipt of additional support,Disability Allowance,128079
Jun-20,New Zealand Superannuation,Receipt of additional support,Disability Allowance,127899
Sep-20,New Zealand Superannuation,Receipt of additional support,Disability Allowance,128673
Dec-20,New Zealand Superannuation,Receipt of additional support,Disability Allowance,129576
Mar-21,New Zealand Superannuation,Receipt of additional support,Disability Allowance,130323
Jun-21,New Zealand Superannuation,Receipt of additional support,Disability Allowance,129402
Sep-21,New Zealand Superannuation,Receipt of additional support,Disability Allowance,129726
Dec-21,New Zealand Superannuation,Receipt of additional support,Disability Allowance,128940
Mar-22,New Zealand Superannuation,Receipt of additional support,Disability Allowance,127902
Jun-22,New Zealand Superannuation,Receipt of additional support,Disability Allowance,126192
Sep-22,New Zealand Superannuation,Receipt of additional support,Disability Allowance,126534
Dec-22,New Zealand Superannuation,Receipt of additional support,Disability Allowance,125688
Mar-23,New Zealand Superannuation,Receipt of additional support,Disability Allowance,125907
Jun-23,New Zealand Superannuation,Receipt of additional support,Disability Allowance,126249
Sep-23,New Zealand Superannuation,Receipt of additional support,Disability Allowance,125949
