Date,Recipient Characteristic,Type,Subtype,Observation
2019-03-01,New Zealand Superannuation,Gender,Male,359397
2019-06-01,New Zealand Superannuation,Gender,Male,362742
2019-09-01,New Zealand Superannuation,Gender,Male,365721
2019-12-01,New Zealand Superannuation,Gender,Male,369090
2020-03-01,New Zealand Superannuation,Gender,Male,372351
2020-06-01,New Zealand Superannuation,Gender,Male,375732
2020-09-01,New Zealand Superannuation,Gender,Male,380196
2020-12-01,New Zealand Superannuation,Gender,Male,383547
2021-03-01,New Zealand Superannuation,Gender,Male,386955
2021-06-01,New Zealand Superannuation,Gender,Male,389820
2021-09-01,New Zealand Superannuation,Gender,Male,393276
2021-12-01,New Zealand Superannuation,Gender,Male,395154
2022-03-01,New Zealand Superannuation,Gender,Male,398148
2022-06-01,New Zealand Superannuation,Gender,Male,400524
2022-09-01,New Zealand Superannuation,Gender,Male,404220
2022-12-01,New Zealand Superannuation,Gender,Male,405894
2023-03-01,New Zealand Superannuation,Gender,Male,409410
2023-06-01,New Zealand Superannuation,Gender,Male,413013
2023-09-01,New Zealand Superannuation,Gender,Male,417021
2023-12-01,New Zealand Superannuation,Gender,Male,420324
2024-03-01,New Zealand Superannuation,Gender,Male,424470
2019-03-01,New Zealand Superannuation,Gender,Female,415254
2019-06-01,New Zealand Superannuation,Gender,Female,418695
2019-09-01,New Zealand Superannuation,Gender,Female,421914
2019-12-01,New Zealand Superannuation,Gender,Female,425739
2020-03-01,New Zealand Superannuation,Gender,Female,429162
2020-06-01,New Zealand Superannuation,Gender,Female,433266
2020-09-01,New Zealand Superannuation,Gender,Female,438561
2020-12-01,New Zealand Superannuation,Gender,Female,442038
2021-03-01,New Zealand Superannuation,Gender,Female,444987
2021-06-01,New Zealand Superannuation,Gender,Female,447717
2021-09-01,New Zealand Superannuation,Gender,Female,450732
2021-12-01,New Zealand Superannuation,Gender,Female,452622
2022-03-01,New Zealand Superannuation,Gender,Female,455553
2022-06-01,New Zealand Superannuation,Gender,Female,457839
2022-09-01,New Zealand Superannuation,Gender,Female,461328
2022-12-01,New Zealand Superannuation,Gender,Female,463242
2023-03-01,New Zealand Superannuation,Gender,Female,466725
2023-06-01,New Zealand Superannuation,Gender,Female,470184
2023-09-01,New Zealand Superannuation,Gender,Female,474354
2023-12-01,New Zealand Superannuation,Gender,Female,477930
2024-03-01,New Zealand Superannuation,Gender,Female,482328
2019-03-01,New Zealand Superannuation,Gender,Gender Diverse,0
2019-06-01,New Zealand Superannuation,Gender,Gender Diverse,0
2019-09-01,New Zealand Superannuation,Gender,Gender Diverse,0
2019-12-01,New Zealand Superannuation,Gender,Gender Diverse,3
2020-03-01,New Zealand Superannuation,Gender,Gender Diverse,3
2020-06-01,New Zealand Superannuation,Gender,Gender Diverse,3
2020-09-01,New Zealand Superannuation,Gender,Gender Diverse,6
2020-12-01,New Zealand Superannuation,Gender,Gender Diverse,9
2021-03-01,New Zealand Superannuation,Gender,Gender Diverse,9
2021-06-01,New Zealand Superannuation,Gender,Gender Diverse,12
2021-09-01,New Zealand Superannuation,Gender,Gender Diverse,15
2021-12-01,New Zealand Superannuation,Gender,Gender Diverse,15
2022-03-01,New Zealand Superannuation,Gender,Gender Diverse,24
2022-06-01,New Zealand Superannuation,Gender,Gender Diverse,27
2022-09-01,New Zealand Superannuation,Gender,Gender Diverse,33
2022-12-01,New Zealand Superannuation,Gender,Gender Diverse,33
2023-03-01,New Zealand Superannuation,Gender,Gender Diverse,39
2023-06-01,New Zealand Superannuation,Gender,Gender Diverse,42
2023-09-01,New Zealand Superannuation,Gender,Gender Diverse,48
2023-12-01,New Zealand Superannuation,Gender,Gender Diverse,51
2024-03-01,New Zealand Superannuation,Gender,Gender Diverse,51
2019-03-01,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,41631
2019-06-01,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,42123
2019-09-01,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,42699
2019-12-01,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,43479
2020-03-01,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,44025
2020-06-01,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,44757
2020-09-01,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,45753
2020-12-01,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,46458
2021-03-01,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,47148
2021-06-01,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,46740
2021-09-01,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,47376
2021-12-01,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,47535
2022-03-01,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,47685
2022-06-01,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,46998
2022-09-01,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,47313
2022-12-01,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,47223
2023-03-01,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,47985
2023-06-01,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,46881
2023-09-01,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,47382
2023-12-01,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,47823
2024-03-01,New Zealand Superannuation,Receipt of additional support,Accommodation Supplement,48570
2019-03-01,New Zealand Superannuation,Receipt of additional support,Disability Allowance,127746
2019-06-01,New Zealand Superannuation,Receipt of additional support,Disability Allowance,127638
2019-09-01,New Zealand Superannuation,Receipt of additional support,Disability Allowance,127383
